text,index,subset,tlabel
"stanley kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe . ",49,train,1
people cinema at its finest . ,50,train,1
"one of the funniest motion pictures of the year , but . . . also one of the most curiously depressing . ",51,train,1
"steven soderbergh's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life . ",52,train,1
suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers . ,53,train,1
a moving and important film . ,54,train,1
"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip . ",55,train,1
"all comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad . ",56,train,1
only two words will tell you what you know when deciding to see it : anthony . hopkins . ,57,train,1
it's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity . ,58,train,1
"claire is a terrific role for someone like judd , who really ought to be playing villains . ",59,train,1
"for those who are intrigued by politics of the '70s , the film is every bit as fascinating as it is flawed . ",60,train,1
"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing . ",61,train,1
a clever script and skilled actors bring new energy to the familiar topic of office politics . ,62,train,1
"the cast is phenomenal , especially the women . ",63,train,1
"nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book . ",64,train,1
"i admired it , particularly that unexpected downer of an ending . ",65,train,1
"the film's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties . ",66,train,1
"payne constructs a hilarious ode to middle america and middle age with this unlikely odyssey , featuring a pathetic , endearing hero who is all too human . ",67,train,1
the first half bursts with a goofy energy previous disney films only used for a few minutes here and there . ,68,train,1
"about schmidt is nicholson's goofy , heartfelt , mesmerizing king lear . ",69,train,1
"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic . ",70,train,1
see it . debate it . remember it . ,71,train,1
"it's tough to watch , but it's a fantastic movie . ",72,train,1
exciting documentary . ,73,train,1
cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most . ,74,train,1
highly engaging . ,75,train,1
succeeds only because bullock and grant were made to share the silver screen . ,76,train,1
mazel tov to a film about a family's joyous life acting on the yiddish stage . ,77,train,1
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i'm all for that . ",78,train,1
"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '",79,train,1
strange and beautiful film . ,80,train,1
makes an aborbing if arguable case for the man's greatness . ,81,train,1
"though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia's true emotions . . . but at the very least , his secret life will leave you thinking . ",82,train,1
the amazing film work is so convincing that by movies' end you'll swear you are wet in some places and feel sand creeping in others . ,83,train,1
it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . ,84,train,1
an indispensable peek at the art and the agony of making people laugh . ,85,train,1
evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good . ,86,train,1
a stylistic romp that's always fun to watch . ,87,train,1
"it is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; it primarily relies on character to tell its story . ",88,train,1
"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway . ",89,train,1
"a culture-clash comedy that , in addition to being very funny , captures some of the discomfort and embarrassment of being a bumbling american in europe . ",90,train,1
an old-fashioned drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue . ,91,train,1
" . . . a visually seductive , unrepentantly trashy take on rice's second installment of her vampire chronicles . ",92,train,1
"argento , at only 26 , brings a youthful , out-to-change-the-world aggressiveness to the project , as if she's cut open a vein and bled the raw film stock . ",93,train,1
graced with the kind of social texture and realism that would be foreign in american teen comedies . ,94,train,1
what makes esther kahn so demanding is that it progresses in such a low-key manner that it risks monotony . but it's worth the concentration . ,95,train,1
anyone who ever fantasized about space travel but can't afford the $20 million ticket to ride a russian rocket should catch this imax offering . ,96,train,1
thoroughly enjoyable . ,97,train,1
"a terrific b movie -- in fact , the best in recent memory . ",98,train,1
"at times funny and at other times candidly revealing , it's an intriguing look at two performers who put themselves out there because they love what they do . ",99,train,1
a film in a class with spike lee's masterful do the right thing . ,100,train,1
"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise . ",101,train,1
"you watch for that sense of openness , the little surprises . ",102,train,1
"[gulpilil] is a commanding screen presence , and his character's abundant humanism makes him the film's moral compass . ",103,train,1
an enjoyable feel-good family comedy regardless of race . ,104,train,1
"it's not a great monster movie . but if you've paid a matinee price and bought a big tub of popcorn , there's guilty fun to be had here . chomp chomp ! ",105,train,1
"for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped . for a film that's being advertised as a comedy , sweet home alabama isn't as funny as you'd hoped . ",106,train,1
heaven is a haunting dramatization of a couple's moral ascension . ,107,train,1
"while some will object to the idea of a vietnam picture with such a rah-rah , patriotic tone , soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation . ",108,train,1
"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need . ",109,train,1
my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it's virtually its own hollywood remake . ,110,train,1
" "" it's all about the image . "" ",111,train,1
"to honestly address the flaws inherent in how medical aid is made available to american workers , a more balanced or fair portrayal of both sides will be needed . ",112,train,1
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation . ,113,train,1
"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . ",114,train,1
"not a film to rival to live , but a fine little amuse-bouche to keep your appetite whetted . ",115,train,1
it's a diverting enough hour-and-a-half for the family audience . ,116,train,1
"on its own , big trouble could be considered a funny little film . ",117,train,1
there's no reason to miss interview with the assassin,118,train,1
just about the surest bet for an all-around good time at the movies this summer . ,119,train,1
"perhaps it's cliche to call the film 'refreshing , ' but it is . 'drumline' shows a level of young , black manhood that is funny , touching , smart and complicated . ",120,train,1
"if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force . ",121,train,1
jeffrey tambor's performance as the intelligent jazz-playing exterminator is oscar-worthy . ,122,train,1
"despite its old-hat set-up and predictable plot , empire still has enough moments to keep it entertaining . ",123,train,1
"more than anything else , kissing jessica stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again . ",124,train,1
pray's film works well and will appeal even to those who aren't too familiar with turntablism . ,125,train,1
jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers . ,126,train,1
a stirring road movie . ,127,train,1
"suspend your disbelief here and now , or you'll be shaking your head all the way to the credits . ",128,train,1
effective but too-tepid biopic,129,train,1
works as pretty contagious fun . ,130,train,1
we want the funk - and this movie's got it . ,131,train,1
the film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work . ,132,train,1
one of the funnier movies in town . ,133,train,1
[has] an immediacy and an intimacy that sucks you in and dares you not to believe it's all true . ,134,train,1
fans of the modern day hong kong action film finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for . ,135,train,1
"it's a good film , but it falls short of its aspiration to be a true 'epic' . ",136,train,1
its rawness and vitality give it considerable punch . ,137,train,1
"take any 12-year-old boy to see this picture , and he'll be your slave for a year . ",138,train,1
"a rather brilliant little cult item : a pastiche of children's entertainment , superhero comics , and japanese animation . ",139,train,1
"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece . ",140,train,1
a good piece of work more often than not . ,141,train,1
a compelling story of musical passion against governmental odds . ,142,train,1
"invigorating , surreal , and resonant with a rainbow of emotion . ",143,train,1
"a resonant tale of racism , revenge and retribution . ",144,train,1
"frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him . ",145,train,1
"mr . polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival . ",146,train,1
"at nearly three hours , the whole of safe conduct is less than the sum of its parts . ",147,train,1
"that rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film . ",148,train,1
haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you're not sure if you should applaud or look into having him committed . ,149,train,1
the film grows on you . and how . ,150,train,1
"what makes the movie work  to an admittedly limited extent  is the commitment of two genuinely engaging performers . weaver and lapaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk . ",151,train,1
"goofy , nutty , consistently funny . and educational ! ",152,train,1
"a subtle , humorous , illuminating study of politics , power and social mobility . ",153,train,1
"steers , in his feature film debut , has created a brilliant motion picture . ",154,train,1
"wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture . ",155,train,1
"a plethora of engaging diatribes on the meaning of 'home , ' delivered in grand passion by the members of the various households . ",156,train,1
"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . ",157,train,1
impresses you with its open-endedness and surprises . ,158,train,1
"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs . ",159,train,1
"full of bland hotels , highways , parking lots , with some glimpses of nature and family warmth , time out is a discreet moan of despair about entrapment in the maze of modern life . ",160,train,1
"its compelling mix of trial movie , escape movie and unexpected fable ensures the film never feels draggy . ",161,train,1
the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) thirdemotionally belittle a cinema classic . sometimes shorter is better . ,162,train,1
a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age . ,163,train,1
"the script's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off . ",164,train,1
the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year . ,165,train,1
but this is lohman's film . her performance moves between heartbreak and rebellion as she continually tries to accommodate to fit in and gain the unconditional love she seeks . ,166,train,1
"anchored by a terrific performance by abbass , satin rouge shows that the idea of women's self-actualization knows few continental divides . ",167,train,1
[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll . ,168,train,1
it's stylishly directed with verve . . . ,169,train,1
great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex . ,170,train,1
"the whole mildly pleasant outing -- the r rating is for brief nudity and a grisly corpse -- remains aloft not on its own self-referential hot air , but on the inspired performance of tim allen . ",171,train,1
most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness . ,172,train,1
several degrees shy of the gross-out contests one expects from current teen fare . ,173,train,1
"i don't know precisely what to make of steven soderbergh's full frontal , though that didn't stop me from enjoying much of it . ",174,train,1
certainly the performances are worthwhile . ,175,train,1
"there's a disreputable air about the whole thing , and that's what makes it irresistible . ",176,train,1
"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars",177,train,1
"buy is an accomplished actress , and this is a big , juicy role . ",178,train,1
this one is strictly a lightweight escapist film . ,179,train,1
"it's something of the ultimate scorsese film , with all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas . ",180,train,1
the movie is a trove of delights . ,181,train,1
"an elegant , exquisitely modulated psychological thriller . ",182,train,1
you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report . ,183,train,1
" . . . while dark water isn't a complete wash ( no pun intended ) , watched side-by-side with ringu , it ultimately comes off as a pale successor . ",184,train,1
intimate and panoramic . ,185,train,1
an exquisitely crafted and acted tale . ,186,train,1
"still pretentious and filled with subtext , but entertaining enough at 'face value' to recommend to anyone looking for something different . ",187,train,1
"an amusing , breezily apolitical documentary about life on the campaign trail . ",188,train,1
a very capable nailbiter . ,189,train,1
this is one of those war movies that focuses on human interaction rather than battle and action sequences . . . and it's all the stronger because of it . ,190,train,1
"stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid . ",191,train,1
"maggie smith as the ya-ya member with the o2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment . ",192,train,1
"entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining ! ",193,train,1
"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer . ",194,train,1
foster breathes life into a roll that could have otherwise been bland and run of the mill . ,195,train,1
"a serviceable euro-trash action extravaganza , with a decent sense of humor and plenty of things that go boom  handguns , bmws and seaside chateaus . ",196,train,1
"'possession , ' based on the book by a . s . byatt , demands that labute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit",197,train,1
"watching these two actors play against each other so intensely , but with restraint , is a treat . ",198,train,1
it's no accident that the accidental spy is a solid action pic that returns the martial arts master to top form . ,199,train,1
a masterpiece four years in the making . ,200,train,1
"if reno is to the left of liberal on the political spectrum , her tough , funny , rather chaotic show isn't subversive so much as it is nit-picky about the hypocrisies of our time . ",201,train,1
"angel presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale . ",202,train,1
"an intelligent , multi-layered and profoundly humanist ( not to mention gently political ) meditation on the values of knowledge , education , and the affects of cultural and geographical displacement . ",203,train,1
"a slick , skillful little horror film . ",204,train,1
while the plot follows a predictable connect-the-dots course . . . director john schultz colors the picture in some evocative shades . ,205,train,1
"it's about individual moments of mood , and an aimlessness that's actually sort of amazing . ",206,train,1
"a witty , whimsical feature debut . ",207,train,1
an extraordinary swedish film about the soul adventure of marriage -- the kind of intimate and character-driven film that bille august does best . ,208,train,1
"the word that comes to mind , while watching eric rohmer's tribute to a courageous scottish lady , is painterly . ",209,train,1
"each of these stories has the potential for touched by an angel simplicity and sappiness , but thirteen conversations about one thing , for all its generosity and optimism , never resorts to easy feel-good sentiments . ",210,train,1
"fast , frantic and fun , but also soon forgotten",211,train,1
"not so much a movie as a picture book for the big screen . this isn't my favorite in the series , still i enjoyed it enough to recommend . ",212,train,1
"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , but otherwise the production is suitably elegant . ",213,train,1
could this be the first major studio production shot on video tape instead of film ? ,214,train,1
for most of the distance the picture provides a satisfyingly unsettling ride into the dark places of our national psyche . ,215,train,1
"bloody sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made . it's a movie that accomplishes so much that one viewing can't possibly be enough . ",216,train,1
"lovely and amazing is holofcener's deep , uncompromising curtsy to women she knows , and very likely is . when all is said and done , she loves them to pieces -- and so , i trust , will you . ",217,train,1
"though overall an overwhelmingly positive portrayal , the film doesn't ignore the more problematic aspects of brown's life . ",218,train,1
watstein handily directs and edits around his screenplay's sappier elements . . . and sustains off the hook's buildup with remarkable assuredness for a first-timer . ,219,train,1
"it's a testament to de niro and director michael caton-jones that by movie's end , we accept the characters and the film , flaws and all . ",220,train,1
evokes the 19th century with a subtlety that is an object lesson in period filmmaking . ,221,train,1
"una película oscura , precisa , por momentos grandiosa y casi siempre conmovedora . ",222,train,1
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,223,train,1
"leigh is one of the rare directors who feels acting is the heart and soul of cinema . he allows his cast members to make creative contributions to the story and dialogue . this method almost never fails him , and it works superbly here . ",224,train,1
"a reminder that beyond all the hype and recent digital glitz , spielberg knows how to tell us about people . ",225,train,1
"manages to transcend the sex , drugs and show-tunes plot into something far richer . ",226,train,1
"the principals in this cast are all fine , but bishop and stevenson are standouts . ",227,train,1
an average coming-of-age tale elevated by the wholesome twist of a pesky mother interfering during her son's discovery of his homosexuality . ,228,train,1
"in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level . ",229,train,1
"there are moments in this account of the life of artist frida kahlo that are among cinema's finest this year . unfortunately , they're sandwiched in between the most impossibly dry account of kahlo's life imaginable . ",230,train,1
"one of the smarter offerings the horror genre has produced in recent memory , even if it's far tamer than advertised . ",231,train,1
my wife is an actress works as well as it does because [the leads] are such a companionable couple . ,232,train,1
 . . . myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-tarantino pop-culture riffs . . . ,233,train,1
"the way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of gator-bashing are consistently delightful . ",234,train,1
you walk out of the good girl with mixed emotions  disapproval of justine combined with a tinge of understanding for her actions . ,235,train,1
"lohman adapts to the changes required of her , but the actress and director peter kosminsky never get the audience to break through the wall her character erects",236,train,1
a delightful entree in the tradition of food movies . ,237,train,1
" "" the turntable is now outselling the electric guitar . . . "" ",238,train,1
"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults . ",239,train,1
"it's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart . ",240,train,1
"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance . ",241,train,1
" ( danny huston gives ) an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent's smirk . ",242,train,1
"harsh , effective documentary on life in the israeli-occupied palestinian territories . ",243,train,1
"the case is a convincing one , and should give anyone with a conscience reason to pause . ",244,train,1
"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya . ",245,train,1
dogtown & z-boys evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean . ,246,train,1
"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results . ",247,train,1
the entire cast is extraordinarily good . ,248,train,1
you can take the grandkids or the grandparents and never worry about anyone being bored . . . audience is a sea of constant smiles and frequent laughter . ,249,train,1
"an impossible romance , but we root for the patronized iranian lad . ",250,train,1
"a sharp , amusing study of the cult of celebrity . ",251,train,1
"on the surface a silly comedy , scotland , pa would be forgettable if it weren't such a clever adaptation of the bard's tragic play . ",252,train,1
"this film is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success . ",253,train,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship . ",254,train,1
"shamelessly resorting to pee-related sight gags that might even cause tom green a grimace ; still , myer's energy and the silliness of it all eventually prevail",255,train,1
"this is a movie that refreshes the mind and spirit along with the body , so original is its content , look , and style . ",256,train,1
go see it and enjoy . ,257,train,1
director david jacobson gives dahmer a consideration that the murderer never game his victims . ,258,train,1
it inspires a continuing and deeply satisfying awareness of the best movies as monumental 'picture shows . ',259,train,1
"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear . ",260,train,1
"the stripped-down dramatic constructs , austere imagery and abstract characters are equal parts poetry and politics , obvious at times but evocative and heartfelt . ",261,train,1
"the draw [for "" big bad love "" ] is a solid performance by arliss howard . ",262,train,1
the pianist is polanski's best film . ,263,train,1
"while the stoically delivered hokum of hart's war is never fun , it's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation . ",264,train,1
"it strikes hardest when it reminds you how pertinent its dynamics remain . fifty years after the fact , the world's political situation seems little different , and [director phillip] noyce brings out the allegory with remarkable skill . ",265,train,1
a very funny romantic comedy about two skittish new york middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles . ,266,train,1
 . . . a lesson in prehistoric hilarity . ,267,train,1
broomfield turns his distinctive 'blundering' style into something that could really help clear up the case . ,268,train,1
"passionate , irrational , long-suffering but cruel as a tarantula , helga figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats . ",269,train,1
mel gibson fights the good fight in vietnam in director randall wallace's flag-waving war flick with a core of decency . ,270,train,1
a tremendous piece of work . ,271,train,1
"overall , it's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs . ",272,train,1
"call me a wimp , but i cried , not once , but three times in this animated sweet film . ",273,train,1
"slow and ponderous , but rohmer's drama builds to an intense indoor drama about compassion , sacrifice , and christian love in the face of political corruption . ",274,train,1
"straightforward and old-fashioned in the best possible senses of both those words , possession is a movie that puts itself squarely in the service of the lovers who inhabit it . ",275,train,1
most of the things that made the original men in black such a pleasure are still there . ,276,train,1
"more intimate than spectacular , e . t . is carried less by wow factors than by its funny , moving yarn that holds up well after two decades . ",277,train,1
"as a singular character study , it's perfect . it's also the year's sweetest movie . ",278,train,1
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",279,train,1
"leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago . ",280,train,1
"a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one . ",281,train,1
"charles' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams' attempts to get his shot at the big time . ",282,train,1
at once disarmingly straightforward and strikingly devious . ,283,train,1
"woody allen's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz . ",284,train,1
"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . ",285,train,1
buy popcorn . take nothing seriously and enjoy the ride . ,286,train,1
"a smart , witty follow-up . ",287,train,1
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant . ",288,train,1
"the film's 45-minute running time stops shy of overkill , though viewers may be more exhausted than the athletes onscreen . ",289,train,1
combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why didn't hollywood think of this sooner ? ,290,train,1
family fare . ,291,train,1
adaptation is simply brilliant . ,292,train,1
"film can't quite maintain its initial momentum , but remains sporadically funny throughout . ",293,train,1
"about a boy vividly recalls the cary grant of room for one more , houseboat and father goose in its affectionate depiction of the gentle war between a reluctant , irresponsible man and the kid who latches onto him . ",294,train,1
"assayas' ambitious , sometimes beautiful adaptation of jacques chardonne's novel . ",295,train,1
"the story . . . is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is . it is also a testament to the integrity and vision of the band . ",296,train,1
"neither the funniest film that eddie murphy nor robert de niro has ever made , showtime is nevertheless efficiently amusing for a good while . before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway . ",297,train,1
you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . ,298,train,1
you never know where changing lanes is going to take you but it's a heck of a ride . samuel l . jackson is one of the best actors there is . ,299,train,1
"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ",300,train,1
"the inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time . ",301,train,1
"while not quite "" shrek "" or monsters , inc . "" , it's not too bad . it's worth taking the kids to . ",302,train,1
"shanghai ghetto , much stranger than any fiction , brings this unknown slice of history affectingly to life . ",303,train,1
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding . ",304,train,1
kinnear's performance is a career-defining revelation . ,305,train,1
"despite its flaws , secretary stays in your head and makes you question your own firmly held positions . ",306,train,1
to get at the root psychology of this film would require many sessions on the couch of dr . freud . ,307,train,1
"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory . ",308,train,1
