x,class,fold
genetic determination of neuronal anatomy,neuroscience,train
a comprehensive analysis of the 1994 java tsunami earthquake and its implications for our understanding of shallow subduction zone dynamics and,geophysics,train
mathematical sciences exact results in statistical mechanics,math,train
periwinkle grazing on and control of spartina alterniflora.,ecology,train
multivariate statistical methodology for the virtual observatory,statistics,train
the impact of urban patterns on ecosystem dynamics,ecology,train
a fully capable bidirectional debugger,software,train
a field study on gpr for non-invasive measurement of soil moisture and a preliminary investigation of gpr-remote sensing imagery correlations,hydro,train
"cosmology, theoretical astrophysics, and computational theoretical physics",gravitional,train
understanding self-adjusting data structures,theory,train
bayesian modeling in the wavelet domain with applications in atmospheric turbulence,statistics,train
the cost of environmental policy in a general equilibrium framework,economics,train
physical data design in multiprocessor database system,data,train
conference on future directions in distributed parameter systems,math,train
mathematical sciences microstructure and its influence on composite material properties,math,train
economic effects of unemployment insurance and workers' compensation,economics,train
"a study of voting and citizenship in the russian elections, 1999-2000",politic,train
spatial and temporal patterns of aftershocks log-periodicity and its physical origins,geophysics,train
the effects of information on firm conduct and market structure (an analysis of disclosure regulation in the restaurant industry),economics,train
the hawaii ocean time-series program jgofs component,oceanography,train
feedback design for nonlinear systems,math,train
empirical analysis of the steps to war,politic,train
mathematical sciences thermistor problems and interfacial dynamics,math,train
"experimental investigations of laboratory markets under conditions of substantially increased time frame, scope and scale",economics,train
information technology and cities,economics,train
on updating the militarized interstate dispute data set,politic,train
vegetation-sensing properties of pollen assemblages,ecology,train
multi-fractal scaling of hydraulic conductivity distributions and the effect on plume-scale contaminant transport,hydro,train
"globec applying molecular organic tracers to determine age structure, nutritional status and possible trophic transfer in euphausiids euphausia",oceanography,train
permeability of partially molten anorthosite,geophysics,train
an astral-based support environment for formal software development of realtime systems,software,train
mathematical sciences the use of splines in functional inference,statistics,train
theoretical investigation of core materials,geophysics,train
wide angle reflection and potential field modeling of the eastern tennessee seismic zone,geophysics,train
publication of 1991-1994 u.s. national committee report to the twentieth international union of geodesy and geophysics general assembly,geophysics,train
associating for a change the shaping of american social action,sociology,train
mathematical sciences diagnostics in structured data and quality improvement,statistics,train
three-trophic level interactions in an aquatic macrophyte hybrid zone,ecology,train
improving requirements completeness through inquiry-based goal refinement,software,train
student resistance to learning network analyses of the high school experience,sociology,train
"rhizosolenia mats as a source of nitrogen flux into the surface waters of the pacific ocean fe stress, ne excretion and basin scale",oceanography,train
political science international organizations and the resolution of trade disputes,politic,train
studies in mathematics and mechanics of textured and prestressed solids,math,train
markov chain algorithms for computational problems from physics and biology,theory,train
gang behavior and the control of crime in the u.s. inner city,economics,train
towards practical higher-order metalanguages,software,train
further studies in the microstructure of financial markets,economics,train
scalable parallel and distributed expert database systems,data,train
nonlinear wave problems in fluid flows,math,train
a logical study of interactive computational problems understood as games,theory,train
committee markups and floor voting,politic,train
the impact of predator-predator interactions on prey population dynamics,ecology,train
an estimate of fault friction properties and stressing rate from aftershocks,geophysics,train
mathematical sciences convergence of approximate solutions to conservation laws,math,train
semi-structural modeling of empirical auction models,economics,train
the determinants and consequences of midlife education,sociology,train
radiometric dating of whale bones - a tool for study of succession and persistence of whale fall chemoautotrophic assemblages,oceanography,train
dendritic retraction induced by cytokines,neuroscience,train
model selection and tests of model fit,statistics,train
mathematical sciences spatial and temporal nonlinear integral and differential equations,math,train
software process analysis integrating models and data,software,train
volunteer labor in models of altruism,economics,train
next generation data mining (ngdm'02) workshop,data,train
effects of environmental variation on plant disease in the tallgrass prairie,ecology,train
international conference in mathematics in biology,math,train
developing a theory of heuristics,theory,train
mathematical sciences problems in simple and complex block designs,statistics,train
crust-mantle decoupling in flexure of continental lithosphere,geophysics,train
automatic identification of significant topics in domain independent full text analysis,data,train
black-hispanic-white youth labor market - 1988 mgr - honorable mention award michael a. stoll,economics,train
thermal behavior in a parasite-insect association,ecology,train
seismological investigation of atmospheric oscillations excited by volcanic eruptions,geophysics,train
effects of 3-trophic level interactions on sex ratios of an herbivore and parasitoid,ecology,train
relative and absolute ages of offset geomorphic features along the garlock fault in pilot knob valley (),geophysics,train
on applied nonlinear analysis,math,train
comparative ecology of uncommon and rare galling and free-feeding sawflies,ecology,train
controls on plant bioavailability in salt marsh environments which can be manipulated for contaminated sediment remediation,ecology,train
generation of test cases for np-hard problems,theory,train
caa development of the olfactory placodes,neuroscience,train
mathematical sciences career advancement award ill-posed problems,math,train
national science foundation alan t. waterman award,oceanography,train
mathematical sciences vip/virtual integrated prototyping for epitaxial growth,math,train
cubature formulae and orthogonal polynomials of several variables,math,train
"reu automated acquisition of domain knowledge and language patterns, with application to language metadata",data,train
"jgofs response of arabian sea phytoplankton biomass, pigmentation, growth rates, and community structure to seasonally varying physically forcing",oceanography,train
models and representations for digital images and video,data,train
development of corticostriatal innervation,neuroscience,train
mathematical sciences implementation of accurate methods for practical inference,statistics,train
wealth and health nineteeth-century mortality in emergent new england mill towns,sociology,train
emperical analyses of competitive bidding,economics,train
mathematical sciences nonlocal models in the mechanics of materials,math,train
black-hole dynamics and gravitational waves,gravitional,train
"conference on the new economics of science at notre dame, indiana, march 1997",economics,train
mathematical sciences analysis and control of mechanical and dynamical systems,math,train
"nonstationary spatial modeling for multiple point sources, with applications to enviromnental data",statistics,train
empirical analysis of auctions,economics,train
policy representation in the american states ii,politic,train
to extend the 1860 bateman-foust agricultural and demographic sample,economics,train
development and application of a new model for high temperature creep based on the jogged-screw model,metals,train
mathematical sciences collaboration between statistical and atmospheric sciences on modeling the climate system,statistics,train
adaptation processes of adult children of korean and vietnamese immigrants,sociology,train
a mechanism for internalizing externalities,economics,train
"dynamics of social unrest in early qing china, 1645-1795",sociology,train
mathematical sciences global qualitative analysis of ecological models with delays and diffusions,math,train
continuum modeling of dna cyclization,math,train
scaling theories of 3-d geometry and flows of river networks,hydro,train
reframing u.s. women's work in 1900,sociology,train
effectiveness of employee involvement,economics,train
the impact of managed care on the gender gap among physicians,economics,train
"mathematical sciences ""markov dependence in statistics andinformation theory and statistical problems in physical mapping""",statistics,train
bayesian inference and mixture models,statistics,train
the origin and spread of grass-dominated ecosystems during the late tertiary of north america and how it relates to the evolution,ecology,train
routing in high speed networks,networking,train
mathematical sciences walsh-fourier analysis and categorical time series,statistics,train
the capabilities and limitations of atomated discovery,theory,train
mathematical sciences mathematial modeling and dynamics of premixed flames as hydrodynamic discontinuities,math,train
"concur '95 - sixth international conference on concurrency theory; university of pennsylvania; philadelphia, pa; august 21-24, 1995",software,train
development of a simplistic method for processing intermetallic sheet materials using cold roll bonding and reaction annealing,metals,train
mathematical sciences growth curve marginal models,statistics,train
requirements specification for embedded systems an integrated framework,software,train
prf/j metabolic cost of detoxifying plant secondary compounds and the evolution of herbivore host specialization,ecology,train
inference in conditional moment restriction models when there is selection due to stratification,economics,train
studies in classical and quantum gravity,gravitional,train
principals of uncertainty and information in expert systems,data,train
"high resolution simultaneous tomographic inversion for attenuation and velocity structure at loma prieta, using local earthquakes",geophysics,train
3-d dynamic rupture models of interacting fault segments,geophysics,train
measuring active deformation using interferometric syntheticaperture radar applications in central california and the himalaya,geophysics,train
a new asymptotic theory for heteroskedasticity autocorrelation robust tests,economics,train
evolutionary ecology of black pineleaf scale infestations on ponderosa pine,ecology,train
mathematical sciences a general approach for the numerical solution of daes,math,train
mathematical sciences quasi-second-order methods for nonsmooth optimization,math,train
engineering databases supporting dynamic extensibility and partial integrity,data,train
initiation award parallel program portability with coarse-grained dataflow computing,software,train
three topics in trade policy,economics,train
nineteenth century farm mortgages a data collection project,economics,train
compensators and coercion in systems of exchange,sociology,train
game-theoretic analysis of political institutions,economics,train
"the effects of volcanic eruption on coral reef ecosystems, montserrat, wi",oceanography,train
industrial and occupational mobility following job displacement,economics,train
cause and blame institutional factors in aircraft accident investigations,sociology,train
compile-time analysis tools for parallel software development environments,software,train
query optimization for parallel executions,data,train
learning and forecasting theory and applications,economics,train
cabinet turnover in parliamentary democracies,politic,train
analysis of small-scale scattering in the mantle using 3-component network and array recordings of pkp precursors and coda,geophysics,train
multiple imputation  for the third decade,statistics,train
algorithms for partitioning polyhedra,theory,train
"temporal trends in species abundance and community structure of pelagic seabirds in the eastern tropical pacific, with implications for tuna commensalism and",oceanography,train
marine biotech fellowship a molecular analysis of the phylum ctenophora,oceanography,train
behavioral strategies of sit-and-wait foragers models of ant lion foraging,ecology,train
intermediate regulations of aquatic ecosystems pursuing the generality of the trophic cascade hypothesis,ecology,train
slab geometry and mountain building processes in the southern andes,geophysics,train
strategies for fast execution of constraint logic programs over a real-number domain,software,train
mathematical sciences computational methods for multiconstrained nonlinear variational problems,math,train
earth system history (esh) in the urban landscape-implementing geosystem resource management (grm) in regions of rapid urban growth,ecology,train
economics of continuous trading,economics,train
mathematical analysis of systems with multiple components and multiple time scales,math,train
business cycles and industry dynamics,economics,train
optimal learning in games,economics,train
u.s.-globec vertical distribution of small zooplankton during turbulance profiling on georges bank,oceanography,train
econometrics of dynamic index-threshold models,economics,train
effects of high pressure on the kinetics of grain-growth and dislocation recovery in olivine and modified spinel,geophysics,train
mathematical sciences the geometry of highly nonlinear control systems,math,train
structure of the lithosphere beneath north america,geophysics,train
political science theories of legislative organization and the development of u.s. state legislative committee systems,politic,train
access control management and scurity in a heterogeneous multidomain environment,data,train
human capital and wage inequality analysis of recent changes,economics,train
microglial factor(s) regulate differentiation of cholinergic neuronal precursors,neuroscience,train
calculus of variations in l-infinity and nonlinear pde's,math,train
workshop on centrifugal materials processing,metals,train
surfactant-assisted growth of giant magnetoresistive magnetic multilayers,metals,train
mathematical sciences algorithms and existence theorems for cooperative and stochastic games,math,train
new immigrants from asia family and ethnic bases of economic adaptation,sociology,train
"strategic voting for the israeli knesset, 2003",politic,train
mathematical sciences global optimization for multidimensional scaling,statistics,train
gender and small business success,sociology,train
mechanisms of plant succession in coastal lake michigan sand dunes,ecology,train
revisiting the tidal activation of seismicity with a damage mechanics and friction point of view,geophysics,train
problems in combinatorial pattern matching,theory,train
"mobilization among the homeless a multilevel, national study of collective action",sociology,train
the neotectonics of mexico and the pacific and north american plates from analysis of data from mexico's national network,geophysics,train
"local extinction of acropora cervicornis, the primary framework builder of lagoonal reefs in belize",oceanography,train
transactional threads for reliable persistent application systems,data,train
towards true amplitude tomography,geophysics,train
nonverbal behaviors in social interaction,sociology,train
predicting transport through heterogeneous facies assemblages geostatistical anatomy of buried-valley aquifers iii,hydro,train
information dependencies in databases and data mining,data,train
transaction management in interpolation-based grid files,data,train
a proposal for on random processes and algorithms,theory,train
two body dynamics in general relativity,gravitional,train
"the role of light, predation and flow in structuring marine subtidal communities",oceanography,train
studies of three dimensional convection with surface plates,geophysics,train
mathematical sciences inference for nonlinear time series and spatial models,statistics,train
symposium on computational and theoretical seismology in honour of j. freeman gilbert (march 2002),geophysics,train
locally preference-maximizing choice functions,economics,train
massive microearthquake relocation technique development and application to seismotectonics,geophysics,train
anonymous markets and coethnic ties in international trade,economics,train
the effect of changes in wages on economic perceptions and voting an improved micro-level foundation for economic voting,politic,train
capacity and macroeconomic fluctuations,economics,train
mathematical sciences ideal clutters and binary materials in combinatrial optimization,math,train
international biometric conference - san francisco,statistics,train
flow control for high - speed networks,networking,train
phase transformations and kinetics studies of mantle minerals using x-ray diffraction and analytical transmissionelecron microprobe (atem),geophysics,train
community development and structure at hydrothermal vents,oceanography,train
ultraviolet light and temperature effects on reef-building corals,oceanography,train
mathematical sciences matrix differential equations and their applications,math,train
"detection, estimation and optimization problems in stochastic systems, genetics and economics",statistics,train
the modulation of inhibitory synapses during development,neuroscience,train
"quantile regression, smoothing, and robust inference",economics,train
"nectar robbers, pollinators, and plants the importance of direct and indirect effects on individuals and communities",ecology,train
"salp swarm dynamics energetics, growth and reproduction of two bloom-forming speices",oceanography,train
stochastic control with discretionary stopping,math,train
attitudes to democratic capitalism a comparative study of support for political and economic reform in africa,politic,train
a general equilibrium model incorporating social concerns,economics,train
mathematical sciences non parametric inference and sequential design,statistics,train
chemically mediated interactions in a sedimentary assemblage,oceanography,train
crb analysis of the regeneration niche of six herbaceous perennials,ecology,train
transaction management in a heterogeneous database environment,data,train
mathematical sciences aspects of integrability,math,train
"vintage-capital, distortions and development",economics,train
pollinator-plant interactions on rugged energetic landscapes,ecology,train
csedi  the influence of thermal conductivity on stabilization and feedback in mantle convection,geophysics,train
marine biotech fellowship molecular genetic studies of sulfur-oxidizing chemoautotrophic bacterial symbionts in thehydrothermal vents,oceanography,train
an economic analysis of welfare administration,economics,train
nonparametric and consistent empirical welfare analysis using functional methods,economics,train
selective just-in-time (jit) information propagation in large network-centric environments,data,train
towards practical constraint query algebras,data,train
compressibility and structure of silicate melts at high pressure,geophysics,train
imputation and variance estimation for survey data,statistics,train
algorithmic and combinatorial tools for sequence analysis,theory,train
"biogeography, climate and the role of direct positive interactions in rocky shoreline communities",oceanography,train
mathematical sciences analysis & calculation of solutions to the acoustics equations,math,train
dynamic rupture propagation in the presence of thermally driven fluid flow and melting due to fault slip a modeling study,geophysics,train
diapausing eggs and the dynamics of plankton communities,ecology,train
machine and algorithm design for highly parallel general purpose computation,theory,train
mechanism design in matching problems,economics,train
study of feedback congestion control techniques,networking,train
mathematical sciences nonlinear partial differential equations in continuum mechanics,math,train
toward an understanding of contextual factors in software development,software,train
three-dimensional high resolution upper mantle shear wave velocity structure,geophysics,train
applications of descriptive complexity,theory,train
integrated public use microdata series,sociology,train
international relations theory a formal approach,politic,train
mathematical sciences saddlepoint methods and likelihood,statistics,train
u.s. globec modeling biological/physical processes controlling copepod abundance in the georges bank/gulf of maine region,oceanography,train
rui  pilot study of miocene volcanic transition zone,geophysics,train
paleohydrologic controls on alluvial deposition a process-simulation approach to reconstruct aquifer heterogeneity,hydro,train
los angeles basin ground motion prediction from tomographic velocity models,geophysics,train
finite element methods for problems in solid mechanics,math,train
nber web-based archive of international trade data,economics,train
explaining the dynamics of fear of crime,sociology,train
aggregative behavior of zooplankton in situ and laboratory studies of copepod swarms and mysid schools,oceanography,train
human impact and long-term changes in the rainforests of borneo,ecology,train
laboratory and field studies linking anisotropic electrical conductivity and deformation in the mantle,geophysics,train
seismic tomography of china and surrounding regions,geophysics,train
mechanisms of species coexistence with the fire ant in western brazil,ecology,train
"the design, definition, and implementation of programming languages",software,train
balance laws modeling heat propagation in solids at low temperature,math,train
vertical and horizontal transmission and parasite virulence in a plant/fungus interaction,ecology,train
mathematical sciences minimal order dynamic pole assignment problems,math,train
corporate governance around the world,economics,train
a test for convergence between an insect-fungus interaction and coevolved systems of pollinating seed parasites and angiosperms,ecology,train
economic approaches to crime policy,economics,train
an experimental approach to understanding self-organization of mode i defects and nucleation of shear fracture,geophysics,train
theoretical in general relativity and relativistic cosmology,gravitional,train
on political competition and decentralization,politic,train
regulation of pattern formation in retinal photoreceptors,neuroscience,train
interspecific competition and extinction-prone species,ecology,train
doctoral dissetation  the effects of ordering in exchange networks,sociology,train
optimal lending contracts and firm dynamics,economics,train
social mobilization and change in conservation and development projects a comparative study in brazil,sociology,train
feasibility of mapping the earth's interior by neutrino absorption a csedi initiative in geo-astrophysics,geophysics,train
an analysis of the rise in illegitimacy and single parenthood in the united states,economics,train
parasitoid-host metapopulation dynamics effects of spatial heterogeneity and spatial structure,ecology,train
"salp swarm dynamics energetics, growth and reproduction of two bloom-forming species",oceanography,train
numerical computation of black hole coalescence,gravitional,train
"ecosystem structure, biogeochemical fluxes and vulnerability to climate change perturbations.",oceanography,train
colonial law and postcolonial development a comparative study of the effects of british colonial legacies on national,sociology,train
development of a coupled global circulation/adaptive food web model to explain carbon cycling in the ocean,oceanography,train
mathematical sciences singular and boundary control of multidimensional diffusion processes,math,train
rational fascists the political geography of early nazi party membership,sociology,train
"the effects of gender stratification among adults on medical treatment choices for boys and girls, a case study on minia, egypt",sociology,train
molecular basis of nitrogen fixation and the ecological success of the marine cyanobacterium trichodesmium,oceanography,train
carotenoid pigments in micrzooplankton characterization and relation to biomass,oceanography,train
functional limit theory in econometrics,economics,train
modeling and analysis of multimodal bursting in pancreatic beta-cells,math,train
variation in sex expression in a marine bryozoan,oceanography,train
mantle minerals under extreme conditions,geophysics,train
mathematical sciences a study of weak solutions for the euler equations and related equations from plasma physics,math,train
deep earthquakes from the pre-digital era,geophysics,train
information revelation policies for sellers at auctions,economics,train
from the centrally politicized to the market economy in eastern europe,politic,train
constraints on subduction zone and mantle structures from seismic traveltimes and waveforms,geophysics,train
mathematical sciences investigations in order restricted inference and improved inference procedures,statistics,train
shear wave constraints on upper mantle anisotropy,geophysics,train
asset markets and the macroeconomy,economics,train
development of anisotropy in deformed and recrystallized rocks,geophysics,train
integrable dynamics of knotted vortex filaments,math,train
interactions between streams and groundwater along the river continuum scaling up to a stream network,hydro,train
in one-rule semi-thue systems and infinite games,theory,train
"variation in herbivore population sizes the effects of host quality, host genotype, natural enemies and the formation of demes",ecology,train
habitat suitability and the distrbution of species,ecology,train
"mathematical sciences computation, optimization, singularity, and vibration analysis of polygonal elastic thin plates",math,train
the great escape the industrial revolution in theory and in history,economics,train
"the 1996 federated computing conference, philadelphia, pa",software,train
adaptive and scalable quality of service provisioning in multirate multicast networks,networking,train
intermediate regulations of aquaticecosystems pursuing the generality of the trophic cascade hypothesis,ecology,train
topics in factor analysis of large dimensions,economics,train
effects of nutrient stress on a co-evolved food web,ecology,train
probing the earth's core,geophysics,train
regional and local influences on species richness in coral communities across a pacific diversity gradient,oceanography,train
"light, phosphorus, and ecological stoichiometry in pelagic communities",ecology,train
information and electoral choice in us national elections,politic,train
the effects of spatial subsidies and food web structure on the stability and long-term dynamics of island ecosystems,ecology,train
columbia university theory days fall & spring 1995,theory,train
itr mesoscopic modeling and simulation a novel approach to monte carlo methods,math,train
continent-hotspot interaction crustal deformation measurements and modeling of the yellowstone hotspot,geophysics,train
globec northeast pacific retrospective study long-term variability in salmon abundance in the gulf of alaska and california current systems,oceanography,train
anatomical substrates subserving electrotonic coupling in locus coerulus,neuroscience,train
mathematical sciences phase space and functional integral methods in forward and inverse wave propagation,math,train
lexen fe(iii)-and humics-reducing microorganisms in extreme environments,ecology,train
gps crustal deformation monitoring in china,geophysics,train
collaboration on inverse problems for holographic image datausing kam methods,math,train
nyi designing multimedia services in future integrated networking,networking,train
u.s. globec northeast pacific coordinating office,oceanography,train
"interactions between streams and ground water along the river continuum influence of stream size, geomorphology, and catchment wetness",hydro,train
temporal processing in the auditory system a nonlinear dynamics approach with theory and experiment,math,train
"early national voting data project, 1788-1824",politic,train
the demand for female labor,sociology,train
anisotropic creep and deformation of textured hexagonal close packed metals,metals,train
ltreb long-term studies on the recruitment dynamics of shallow water epifaunal communities,oceanography,train
surface fluxes and remote sensing the canopy effect,hydro,train
"mathematical sciences deformation of domains, jacobian determinant and grid generation",math,train
fate determination in the disophila embryonic brain and visual systems,neuroscience,train
dispersal and establishment of forest tree species into abandoned pastures of a nicaraguan tropical dry forest,ecology,train
mathematical sciences statistical inference for monotone regression,statistics,train
uab-git international conference on differential equations and mathematical physics,math,train
career/epscor cooperative agents for conceptual search and browsing of world wide web resources,data,train
(usc and ut) a study of naturally occurring decay-series isotopes as quantitative hydro-geochemical tracers,hydro,train
"globec 2000 feeding, growth, condition, and energetics of juvenile pink salmon in the gulf of alaska",oceanography,train
(sger) a novel approach for calibration of hydrologic models using multiobjectives and visualization techniques,hydro,train
evaluating models of attitude change in the period of transition to democracy and free markets in hungary,politic,train
"statistics modeling of processes in science and industry. a conference marking the 50th anniversary of the department of statistics at virginia tech, august",statistics,train
specification and verification of compiler algorithms,software,train
reflectivity structure below the san fernando valley from northridge aftershock recordings,geophysics,train
"crb sixth cary conference enhancing the ecological basis for conservation--heterogeneity, ecosystem function, and biodiversity, may 9-11,",ecology,train
"party pledges and policy change in the uk and us, 1970s - 1990s",politic,train
comparison of state-of-the-art paleoseismologic techniques as currently practiced in the us and ussr,geophysics,train
the economics and sociology of second-best organizations,economics,train
agency and dynamics in political economy,economics,train
the rising political participation of senior citizens the role of the american welfare state,politic,train
algal food quality its biochemi- cal charcterization and role in zooplankton feeding and fecundity responses,ecology,train
a career development plan for and education in high speed networks,networking,train
nonsmooth and geometric methods in nonlinear control,math,train
fundamental understanding of superplasticity in nanocrystalline metals,metals,train
a continuation of a study of new concepts in stick-slip behavior,geophysics,train
the state and life chances in urban china,sociology,train
network design and traffic recovery procedures for survivable wide area packet networks,networking,train
pelagic to benthic coupling in lobster (homarus americanus) recruitment,oceanography,train
algorithmic methods for large scale genome analysis,theory,train
collective validation in multi-actor task settings extending the berger et al. theory of legitimation,sociology,train
dynamical modeling of the western united states,geophysics,train
political science the effect of democratic deliberation on political tolerance,politic,train
mathematical sciences asymptotic behavior of large-scale dynamics,math,train
what have we done to the land? studies in soil depletion and reforestation,economics,train
"survey of employment, income, and attitudes in russia",sociology,train
gender inequalities across metropolitan labor markets,sociology,train
probabilistic considerations in the analysis of algorithms,theory,train
"berkeley symposium economics, statistics, and computation for 1998, 1999, 2000 in berkeley, california",economics,train
food web regulation of particulate export flux in high nitrate-low chlorophyll regions,oceanography,train
political science how civic journalism influences political learning and deliberation,politic,train
determining text databases to search in the internet,data,train
mathematical sciences control of singular distributed systems,math,train
mathematical sciences statistical theory and methods for errors in variables regression and other multivariate inference problems,statistics,train
aspects of construction and generation,theory,train
a foundation for generalized network fault management,networking,train
an experimental study of rationality and learning in noncooperative games,economics,train
protocols for mobile ad hoc networks,networking,train
mechanisms of n-cam mediated adhesion,neuroscience,train
mathematical sciences  in nonlinear problems arising in mechanics,math,train
characterization of me1 during neuronal differentiation,neuroscience,train
"the contribution of secondary seed dispersal to the reproductive success of ""wind-dispersed"" pines",ecology,train
mathematical sciences dealing with mixed levels of uncertainty,statistics,train
exploratory programming techniques for program execution monitoring,software,train
measurement and modeling of pore-scale flows,hydro,train
mathematical sciences dimension and bases for spline spaces,math,train
evolution of melt distribution during deformation of partially molten mantle rocks implications for geodynamical processes,geophysics,train
estimating models with product differentiation and endogenous product characteristics,economics,train
the concurrency factory- practical tools for the design and verification of concurrent systems,software,train
small grant for exploratory  public attitudes toward canadian national referendum on constitutional renewal,politic,train
functional programming and scientific computing,software,train
transgenic models of neuroendocrine cell differentiation,neuroscience,train
a method to genomic sequence uncultured marine phage,oceanography,train
plastic deformation and deformation fabric in wadsleyite and ringwoodite effects of water and grain-size,geophysics,train
global paleointensity of earth's magnetic field from submarine basaltic glass,geophysics,train
evolution of growth rate tradeoffs between costs of growth and benefits of increased size,oceanography,train
factors regulating programmed cell death in an insect,neuroscience,train
scope and consequences of variability in the early life history traits of a caribbean coral reef fish,oceanography,train
is deliberate misspecification desirable? statistical study of financial and other time-dependent data,statistics,train
csedi cooperative studies of electrochemistry at the core-mantle boundary,geophysics,train
admission control in high speed multimedia networks,networking,train
political intermediation in a spanish election,politic,train
"the economics of conservation, extinction, and sustainability",economics,train
implementation techniques for parallel logic programming systematic development of parallel prolog engines,software,train
isi 2003 travel grant,statistics,train
mathematical sciences investigations of phase transitions using relaxation and nonlocal regularization,math,train
have transition economies become more efficient? evidence from russian and czech panel data on firms and individuals,economics,train
"seismic and geodetic constraints on the evolution of magmatic and eruptive processes at arenal and irazu volcanos, costa rica",geophysics,train
interactive visualization and collaboration analysis of very large datasets,data,train
mathematical modeling of microfluidic dynamics and transport,math,train
algorithms for metric space embeddings,theory,train
distribution and abundance of vascular epiphytes in tropical wet forests a multiscale analysis,ecology,train
applying learning theory to systems problems,theory,train
multi-protocol architecture as a paradigm for achieving inter-operability,networking,train
the stability of random access lans and other networks,networking,train
compositional effects and simultaneous p-t effects on the elasticity of pyrope-almandine-grossular garnet solid solution series,geophysics,train
(sger) small grants for exploratory  internet voting and the 2000 election,politic,train
"trends in science and technology careers an international conference in brussels, belgium - march 1993",sociology,train
the missouri to massachusetts broadband seismometer deployment  studies of mantle structure,geophysics,train
"third international workshop on ordered intermetallic alloys and composites; hangzhou, china; april 5-10, 1998",metals,train
efficient compilation issues for scalable distributed-memory multicomputers,software,train
analysis of resource competition models,math,train
determinants of economic growth,economics,train
"power, exclusion and exchange network dynamics",sociology,train
semiparametric and nonparametric estimation off structural models,economics,train
mathematical sciences continuum mechanics and hyperbolic systems of conservation laws,math,train
deductive systems and optimizing compilers for higher-order languages,software,train
specifying requirements and designs for real-time systems,software,train
linear-time computation and low-level complexity,theory,train
quantitative and international system structure,politic,train
seismic study of continental orogenic zones the rocky mountains and the midcontinent rift,geophysics,train
mathematical sciences non-autonomous ordinary and partial differential equations,math,train
"mathematical sciences biased sampling, bump hunting and confidence",statistics,train
assessment of open-source software for high-performance computing,software,train
"crb the role of seed limitation, resource competition, and community complementarity in invasions and restorations",ecology,train
"clustering by impact, algorithms and applications",data,train
financial theory of the firm,economics,train
mathematical sciences bayesian inference in agricultural field experiments,statistics,train
intertidal marsh hydrology and geomorphology,hydro,train
reputation and perspective in bargaining,economics,train
"distribution, biomass and ecological role of macrozooplankton and fishes in the arabian sea and equatorial indian ocean",oceanography,train
firm age and wages,economics,train
institutional politics and crime control in cities,sociology,train
spatio-temporal database management for global change,data,train
non-trophic indirect interactions in a seagrass community effects of a predatory gastropod on a benthic fish assemblage,ecology,train
"software engineering and programming languages workshop; june 12-13, 1996, boston, ma",software,train
achieving program interperability using domain-specific languages,software,train
programming-language structures for representing and optimizing operating-system resources,software,train
"gambling with development the birth of casino industries in south africa and california, us",sociology,train
analysis and modeling of pattern formation in biological and physical systems,math,train
