label-coarse,label-fine,text
1,17,b'What future movie treat was introduced to American colonists in 1603 by Native Americans ?'
1,26,"b""What was `` America 's recessed-filter cigarette '' ?"""
0,12,b'What happened to Pompeii ?'
3,4,b'Who is the president of the Spanish government ?'
4,8,b'When is Bastille Day ?'
0,7,b'What does N est-ce pas mean ?'
5,14,"b'Where does Buzz Aldrin want to build a permanent , manned space station ?'"
0,12,b'What kind of greeting is appropriate to send on Yom Kippur ?'
1,10,b'What astronomical phenomenon takes place in Jan. 1999 ?'
5,18,b'What country has problems with hooligans ?'
3,4,b'Who used AuH2O as an election slogan ?'
1,26,b'What is the most expensive car in the world ?'
5,14,b'Where is Inoco based ?'
1,14,"b""What 's been the ruin of many a poor boy in New Orleans ?"""
1,20,b'What is the rounded part on the top of a matchbook called ?'
0,9,"b""What is main reason for that electric vehicles can 't be popular nowadays ?"""
3,4,b'Who was chosen to be the first black chairman of the military Joint Chiefs of Staff ?'
3,4,"b""Who created the comic strip , `` Garfield '' ?"""
2,3,b'What does NN O `` mean when used as a prefix in Irish surnames ?'
1,1,b'What was the first English play written exclusively for children ?'
5,18,b'What country other than Germany invaded Poland in September 1939 ?'
3,4,"b'Who lives at 24 Sussex Drive , Ottawa ?'"
3,4,b'What National Basketball Association superstar told his story in Giant Steps ?'
5,14,"b""What is Drew Barrymore 's email address ?"""
4,13,b'How many different types of skunks are there ?'
0,7,"b""What is `` flintknapping '' ?"""
1,1,b'What Morris West novel deals with Russian bishop who becomes Pope ?'
1,46,b'What money was used by them ?'
0,7,b'What is tumbled marble ?'
4,27,b'What is the recomended age to switch a child from a crib to a bed ?'
3,4,b'Who was the lawyer who represented Randy Steven Craft ?'
1,23,b'What is a fear of glass ?'
5,21,b'What Japanese city was once called Edo ?'
3,4,b'Who leads the star ship Enterprise in Star Trek ?'
0,7,"b""What does `` Janelle '' mean ?"""
1,1,b'What film featured a snarly character named Kid Shelleen ?'
4,14,"b""What 's men 's par on a 455-yard golf hole ?"""
3,5,b'What is an example of a famous rock band from the sixties ?'
1,17,b'What kind of wine is Spumante ?'
0,12,"b""What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?"""
3,4,"b""Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?"""
5,18,b'What was the first country to put a second woman in space ?'
5,21,b'The Orange Bowl is located in what city ?'
3,4,"b""Who 's played the most games for the New York Yankees ?"""
5,14,b'What desert has the highest sand dunes ?'
0,9,b'What is Jane Goodall famous for ?'
0,7,b'What does the name Billie mean ?'
4,25,"b'How much would it cost to purchase a 2-foot-square party tent , with sides , ?'"
5,21,b'What is the name of the city that Maurizio Pellegrin lives in ?'
5,14,b'Where were the 1936 Summer Olympics held ?'
5,11,b'What New England state covers 5.9 square miles ?'
1,42,b'What sign is The Water Carrier the zodiacal symbol for ?'
3,4,b'Who developed the first polio vaccine ?'
3,4,"b""What was Darth Vader 's son named ?"""
0,7,b'What is the nature of learning ?'
4,25,b'How much did Mercury spend on advertising in 1993 ?'
3,4,"b'What basketball player is credited with 23 , 924 rebounds ?'"
4,13,b'How many Leos have been Pope ?'
4,8,b'What year did Germany sign its nonaggression pact with the Soviet Union ?'
1,1,"b""What Broadway musical was inspired by Cervantes 's Don Quixote ?"""
0,0,b'How did names come about ?'
3,4,b'Who won a Pulitzer Prize for his novel The Caine Mutiny ?'
1,23,b'What is a fear of points ?'
3,4,b'Whose autobiography is titled Yes I Can ?'
1,44,b'Name an American made motorcycle .'
1,14,b'Name a golf course in Myrtle Beach .'
5,14,b'Where can I get a complete listing of showtimes in my area ?'
1,14,"b""What is Ray Bradbury 's illustrated man illustrated with ?"""
1,1,b'What is a good book to read for people who hate to read ?'
3,4,"b""What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?"""
4,8,b'What month were you born in if your birthstone is sardonyx ?'
3,4,"b""Who 's baby was Sweet Pea on the Popeye cartoon ?"""
3,4,b'What Hall of Fame pitcher started three World Series Games for the New York Yankees in 1962 ?'
3,4,b'Saddam Hussein was compared to whom by President Bush ?'
3,4,b'Who made the first surfboard ?'
1,14,b'Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?'
1,19,b'What color was the hundred billionth crayon made by Crayola ?'
3,4,"b""Who reports the weather on the `` Good Morning America '' television show ?"""
0,7,b'What does appropriates money mean ?'
0,9,"b""Why was Henry Ford 's first automobile calleda Model T & his second type of automobile , introduced in 1928 , called a Model A ?"""
3,4,b'Who replaced Bert Parks as the host of The Miss America Pageant ?'
3,4,"b""Who founded the People 's Temple Commune ?"""
1,14,b'What did Warlock wear on his forehead in Marvel comics ?'
1,23,b'What is a fear of sleep ?'
0,0,b'How do I find the balance of my social security account ?'
1,20,b'What do the Japanese call Japan ?'
3,4,"b""Name Alvin 's brothers"""
3,5,"b'What schools in the Washington , DC NN NN VBP NN NN NN NN .'"
0,12,b'What is the difference between fatalism and determinism ?'
2,3,"b'What is p.m. an abbreviation for , as in 5 p.m. ?'"
3,4,b'In the movie Groundshog Day what is the name of the character played by Andie MacDowell ?'
3,4,b'Who do Herb and Tootsie live next door to ?'
5,21,b'What city is served by McCarren Airport ?'
1,28,b'What would you add to the clay mixture to produce bone china ?'
3,5,b'Whom did the Chicago Bulls beat in the 1993 championship ?'
4,8,b'When was Hurricane Hugo ?'
0,9,b'Why do the chickenpoxs last so long ?'
5,14,b'Where is Natick ?'
4,27,b'How long do you have to pay back debt after claiming chapter 11 bankruptcy ?'
5,18,"b""What European country 's monarchy was restored in 1975 ?"""
1,1,b'What was a California prayer book to an Old West gambler ?'
1,1,b'What Nevil Shute novel is about the doomed survivors of a nuclear war ?'
0,12,b'What is the proof that houseplants metabolize carcinogens ?'
2,3,b'CPR is the abbreviation for what ?'
1,42,b'What playing card symbolizes death ?'
5,14,b'Where was Pythagoras born ?'
4,25,b'What is the current ticket fare from from Cairo to Barbados ?'
3,4,b'The name of the actor who played the detective in the film Kindergarden Cop is what ?'
5,18,b'What country was Sir Edmund Hillary born in ?'
2,3,b'CNN is the abbreviation for what ?'
0,7,b'What is an aortic abdominal aneurysm ?'
4,8,"b""When did Spielberg direct `` Jaws '' ?"""
5,14,b'Where are the Austerlitz and Victor Hugo subway stops ?'
1,17,b'Which soft drink does Madonna advertise for ?'
1,1,b'What film featured Shirley MacLaine as a prostitute and Jack Lemmon as a pimp ?'
5,14,b'Where does tuberculosis come from ?'
5,21,"b""What were the cities of Dickens 's A Tale of Two Cities ?"""
0,12,"b""What 's distinctive about a palmiped 's feet ?"""
4,13,"b'How many times was pitcher , Warren Spahn , a 20-game winner in his 21 major league seasons ?'"
3,4,"b""What U.S. Congressman said : `` Keep the faith , baby '' ."""
5,11,b'What U.S. state has the most blondes ?'
1,30,b'What flower did Vincent Van Gogh paint ?'
4,13,b'How many horses died during the civil war ?'
0,7,b'What is a dangling participle ?'
1,28,b'What is the second hardest substance ?'
4,13,b'The Shea & Gould law firm had an office in L.A. for how many years ?'
4,8,b'When did CNN begin broadcasting ?'
0,12,"b""What is the history of Valentine 's Day cards ?"""
1,28,b'What did the ancients call the four great elements ?'
2,3,b'What does IOC stand for ?'
3,4,"b""What was Fred Astaire 's dancing partner 's name ?"""
4,13,b'How many species of the Great White shark are there ?'
3,5,b'What are the top ten all-time money making NFL teams ?'
0,12,"b'What is the history of Hot Wheels cars , and how are they produced ?'"
4,13,"b""How many Beatles ' records went #1 ?"""
4,13,b'How many cherubs are there on a Trivial Pursuit board ?'
4,13,b'How many members are in the California congressional delegation ?'
4,25,b'What is the cost of the drugs used in tuberculosis treatments ?'
3,5,b'What Japanese electronics company was named for a coastal city northeast of Tokyo ?'
3,4,"b""What was the name of Randy Craft 's lawyer ?"""
3,5,"b""Name Pittsburgh 's baseball team ."""
0,12,b'What is the origin of a.m. and p.m. ?'
4,13,b'How much folic acid should a pregnant woman get each day ?'
1,17,"b""What is the world 's best selling cookie ?"""
5,14,b'What are the seven seas ?'
0,9,"b""What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?"""
5,14,b'Where is the Danube ?'
5,14,b'What natural attractions draw the most visitors in the United States ?'
0,12,b'What is the difference between optical and digital video ?'
4,13,"b'How many miles is it from Frankfurt , Germany to Salzburg , Austria ?'"
1,14,"b""What was John Steinbeck 's travelling companion Charley ?"""
1,26,b'Which two products use a tiger as their symbol ?'
3,4,"b""What tennis player has the nickname `` Nasty '' ?"""
3,4,b'Who is the director and editor of the movie Big starring Tom Hanks ?'
1,31,b'What invention does the principle of conservation of energy make impossible ?'
3,4,b'Who is the leader of Brunei ?'
4,13,b'How many calories are there in a glass of water ?'
3,4,"b""Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?"""
3,5,b'What court does Bob Woodward describe in The Brethren ?'
1,28,b'What are the most common elements in seawater ?'
0,9,b'Why do they sterilize the needle for lethal injection ?'
0,9,b'For what reason did the Shea & Gould law firm close their L.A. office ?'
5,18,b'What country is Mount Everest in ?'
0,12,"b""What is the origin of the ethnic category `` caucasian '' ?"""
1,2,"b""What is the name of David Letterman 's dog ?"""
3,4,"b""Who wrote the song , `` Silent Night '' ?"""
3,4,b'Who is reputed to be the greatest maker of violins ?'
0,0,b'How do you convert foot-pounds to foot-inches ?'
0,7,b'What is the AIM-54C Phoenix ?'
4,8,"b'What day is August 13 , 1971 ?'"
4,25,b'How much does a new railroad coal car cost ?'
5,21,b'What city is Logan Airport in ?'
0,7,b'What is the Milky Way ?'
0,12,"b""Where did the term `` 69 '' come from ?"""
4,13,b'How many people are taller than 7 feet ?'
3,4,"b""Who was President Cleveland 's wife ?"""
4,14,b'What is the frequency of VHF ?'
4,27,b'How old is Jeremy Piven ?'
1,14,b'What did Jimmy Stewart invent ?'
1,1,b'What is the Jewish bible called ?'
1,28,"b""What 's the hardest substance in the human body ?"""
0,12,"b'What did FCC chairman Newton Minow declare TV to be on May 9 , 1961 ?'"
3,12,b'Who is Prince Naseem Hamed ?'
0,9,b'Colin Powell is best known for what achievement ?'
4,13,b'How many types of cheese are there in France ?'
1,20,"b""What do you call a `` twirl '' in ballet ?"""
4,13,b'How many years old is Benny Carter ?'
0,7,b'What is thermal equilibrium ?'
4,38,"b""What percent of world 's fresh water is found in Canada ?"""
4,27,b'How long did the Charles Manson murder trial last ?'
1,26,"b'What shampoo prevents eczema , seborrhea , and psoriasis ?'"
4,40,b'What are the dimensions of an ice hockey goal ?'
4,27,b'How long was the longest hiccup attack ?'
1,14,b'What kind of file has the extension .dbf ?'
3,4,"b""Who was Gerald Ford 's vice president ?"""
0,9,b'Why do airliners crash vs. gliding down ?'
5,14,b'Where can I find a review of Nightmare on Elm Street in a film journal ?'
0,12,b'What steps can be taken to prevent diabetes ?'
5,11,b'What state is known as the Hawkeye State ?'
0,12,"b""What is the origin of the word `` sideburns '' ?"""
4,13,b'How much in miles is a ten K run ?'
0,7,b'What does Elysium mean ?'
1,33,b'What kind of guitar did Jimi Hendrix play ?'
5,11,b'What state is John F. Kennedy buried in ?'
0,7,"b""What is meant by `` capital market '' ?"""
3,4,"b""Who is Westview High 's band director in Funky Winkerbean ?"""
0,12,b'What is the nursery rhyme Rock-a-by Baby about ?'
3,4,b'Who created Maudie Frickett ?'
0,0,"b""How is Easter Sunday 's date determined ?"""
0,7,b'What are pomegranates ?'
1,17,"b""Name Li 'l Abner 's favorite Indian drink ."""
0,0,b'How can I find out my Moon sign ?'
4,13,b'How many American soldiers are stationed in South Korea ?'
3,4,"b""Who runs Andy Capp 's favorite pub ?"""
1,10,b'What significant battle was fought in Belgium in 1815 ?'
3,4,"b""Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?"""
1,14,b'Which of the five senses develops first ?'
4,14,b'What is the horsepower of the shuttle boosters ?'
4,13,b'How many Fig Newtons are there to the pound ?'
4,13,b'How many people live in Chile ?'
0,12,"b""What 's the last line of Dickens 's A Christmas Carol ?"""
3,5,"b""What team did baseball 's St. Louis Browns become ?"""
1,29,b'What sport was the first televised in the U.S. ?'
4,13,"b""How many dots make up the symbol for `` because '' ?"""
0,7,"b""What does the word `` meta '' mean ?"""
4,13,b'How many frames does a disk camera shoot ?'
3,5,"b""What television network flogged its sports programming on Inga Nielsen 's body in 197 ?"""
3,4,"b'Who was the accused in The Trial of the Century , which opened Janurary 1 , 1935 ?'"
5,14,b'What are the largest breweries in the world ?'
5,21,b'What Peruvian city is home to the mummified body of Francisco Pizarro ?'
4,13,b'How many gallons of paint does it take to paint the Golden Gate Bridge ?'
3,5,b'Who built the first pyramid ?'
3,4,b'What president kissed the Queen Mother on the lips ?'
4,8,b'What is the average date when most malls begin putting up Christmas holiday decorations ?'
5,21,b'What city is found in the city of OZ ?'
0,7,b'What are the Baltic States ?'
5,14,b'Where did the Mayan Indians live ?'
0,12,"b""Describe the Finnish music personality Salonen 's appearance ."""
0,0,b'How does James Bond like his martinis ?'
5,14,"b'Where can I find up-to-date coastal ocean surface temperature information , preferably along North America and the Caribbean ?'"
0,0,b'How does a bill become law ?'
4,13,b'How many bones are in the human hand ?'
1,1,b'What Tom Wolfe book is about the Mercury astronauts ?'
0,12,b'What do insects do through their spiracles ?'
3,4,b'Which king signed the Magna Carta ?'
0,12,b'What features of the African elephant are larger than those of the Indian elephant ?'
1,14,b'What do goldfish lose if kept in dimly-lit or running water ?'
3,12,b'Who is Colin Powell ?'
1,46,b'What type of currency is used in China ?'
5,14,b'Where can I find information on George Bush ?'
1,14,b'What turns blue litmus paper red ?'
0,0,b'How is the election of a new Pope announced to the world ?'
4,40,b'How far can you see ?'
1,14,b'What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?'
3,4,"b'Who created the Fantastic Four , Hulk , and Thor ?'"
4,27,b'How old is Britney Spears ?'
3,4,b'What video game hero do some of his fans call Chomper ?'
4,27,b'How long does it take for your blood to make one complete trip through the body ?'
3,4,"b""What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?"""
3,5,b'What National League baseball team employed 72 third baseemen in its first 2 seasons ?'
3,4,b'Who famously rode to warn the people of Massachusetts that the British were coming ?'
1,1,b'Which medium is Hamblen the first singing cowboy in ?'
0,7,"b'What is deadrise , nautical , ?'"
0,9,"b""Why is it called `` hamburger '' if there is no ham in it ?"""
3,4,b'Who invented the fountain ?'
0,0,b'How can I call a friend in another country when I do not know the telephone number ?'
5,18,b'What country do the Galapagos Islands belong to ?'
5,18,b'What country is the origin of the band the Creeps ?'
5,21,b'What city in Florida is Sea World in ?'
3,4,b'What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?'
3,4,b'Name the two youngsters saved by the animated Moby Dick .'
3,4,b'Which former Ku Klux Klan member won an elected office in the U.S. ?'
4,14,"b""What 's the population of Mississippi ?"""
1,14,"b""What is Bella Abzug 's sartorial trademark ?"""
4,13,b'How many rows of sprocket holes does a roll of 35-millimeter film have ?'
3,4,b'What is the name of Miss India 1994 ?'
3,4,"b'What member of The Little Rascals has an on-again , off-again sweetheart in Darla Hood ?'"
3,4,b'Who was the last woman executed in England ?'
0,7,"b""What does `` Philebus-like '' mean ?"""
1,20,"b""What 's the common name for a Japanese dwarf tree ?"""
4,13,b'How much iron is in your body ?'
5,11,b'What are the only two states that incorporate the Confederate battle flag in their flags ?'
0,7,b'What is probability theory ?'
5,14,b'Where did Gulliver find a race of tiny people ?'
3,5,b'What ISPs exist in the Caribbean ?'
1,14,b'What did Benny Carter play ?'
5,14,"b""What 's the name of the temple that is located near the capital city of Laos ?"""
0,9,b'Why are electric cars less efficient in the northeast than in California ?'
1,17,"b""What 's known as The queen of Drinks ?"""
1,17,"b""What `` melts in your mouth , not in your hands '' ."""
4,25,"b'How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?'"
1,17,"b""When it 's time to relax , what one beer stands clear ?"""
1,14,b'What generation am I in ?'
3,12,b'Who was Darius ?'
0,7,"b""What does `` Semper Fidelis '' mean ?"""
1,42,b'What is the chemical formula for napalm ?'
0,0,b'How do I write to my Congressman ?'
3,5,b'What are the major companies that are part of Dow Jones ?'
5,14,b'What body of water does the Yukon River empty into ?'
3,4,b'What enigmatic U.S. vice president was once tried and acquitted for treason in a plot to set up his own independent empire in the West ?'
1,10,b'What are the historical trials following World War II called ?'
1,14,b'What is kept in Fort Knox that is so valuable ?'
1,2,"b""What 's the only mammal that can 't jump ?"""
3,4,"b""Who portrayed Carl Bernstein in All the President 's Men ?"""
2,3,"b""What does INRI stand for when used on Jesus ' cross ?"""
0,7,b'What is office automation ?'
0,0,b'How did the Hohenzollerns build their power around 17 ?'
0,12,"b""What was the infamous feat of Germany 's U-2 submarine ?"""
2,3,"b""What does the T.S. stand for in T.S. Eliot 's name ?"""
3,4,b'Who was the first American citizen awarded the Albert Medal of the Society of Arts ?'
1,26,b'Italy is the largest producer of what ?'
3,4,b'What Asian leader was known as The Little Brown Saint ?'
0,0,b'How does a parachute work ?'
0,7,b'What is a turnkey contract ?'
1,1,"b'What was the non-fiction best-seller of 1952 , 1953 and 1954 ?'"
3,4,b'Who betrayed Norway to the Nazis ?'
1,44,b'On which flight did Fawaz Younis commit air piracy and hostage taking ?'
1,17,b'What drink contains as many types of rum as possible ?'
1,23,b'What is a fear of trees ?'
4,25,b'How much does one ton of cement cost ?'
3,5,"b""Which company that manufactures video-game hardware sells the `` super system '' ?"""
5,18,b'What country saw the origin of the Asian Flu ?'
1,20,"b""What 's the geographic term for the submerged fringe of a continent ?"""
4,13,b'How many cities are there in Utah ?'
3,12,b'Who is Desmond Tutu ?'
0,12,b'What is the difference between a classical and an acoustic guitar ?'
2,3,"b""What does ` PSI ' stand for ?"""
4,8,"b'When did President Kennedy , Lee Harvey Oswald , and Jack Ruby all die ?'"
4,8,b'What year was the ATM first introduced ?'
2,34,b'What is the acronym for the National Bureau of Investigation ?'
1,29,b'What sport is Chris Jogis a top player of ?'
5,14,b'Where is the Abominable Snowman said to wander ?'
0,0,b'How is the element strontium purified ?'
1,10,b'What series of trials followed World War II ?'
0,0,b'How can I find a phone number of someone if I only know their email address ?'
3,6,b'What was the occupation of Mandy Rice-Davies ?'
3,4,"b""What singer 's theme song was When the Moon Comes over the Mountain ?"""
5,18,b'What country is located at 13 degrees North latitude and 10 degrees East longitude ?'
5,14,b'Where is Mile High Stadium ?'
1,23,b'What disease is transmitted by the Anopheles mosquito ?'
4,14,"b""What 's a perfect score in a gymnastics exercise ?"""
4,13,b'How many people did the United Nations commit to help restore order and distribute humanitarian relief in Somalia in September 1992 ?'
4,8,b'When was Beethoven born ?'
3,4,"b""Who played the father on `` Charles in Charge '' ?"""
3,4,b'Name the Ranger who was always after Yogi Bear .'
5,14,b'What building are British monarchs crowned in ?'
1,14,b'What has to be produced in a writ of habeas corpus ?'
1,2,b'What racehorse won an Associated Press poll as the greatest horse of the 20th century ?'
1,2,b'What is the name of the dog on the Cracker Jack box ?'
0,7,"b""What is Eagle 's syndrome styloid process ?"""
0,7,b'What is a portal ?'
5,14,b'Which area produces the least acidic coffee ?'
4,8,b'When was Dick Clark born ?'
1,2,"b""What four-legged creature did a Cornell University study say would make man 's best companion in space ?"""
1,1,"b'What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?'"
2,3,"b'What do the letters D.C. stand for in Washington , D.C. ?'"
3,4,b'Who was the first person inducted into the U.S. Swimming Hall of Fame ?'
0,9,b'What is the purpose of the SysRq key on my computer keyboard ?'
4,38,b'What is the chance of conceiving quadruplets ?'
0,12,"b""What was the V-8 Juice slogan : `` the tastebud '' ?"""
3,4,b'Name the child left on a doorstep at the beginning of Gasoline Alley .'
4,8,b'When did the Jurassic Period end ?'
1,33,b'What do West Indian steel bands use as instruments ?'
5,18,"b""What country 's northernmost city is Darwin ?"""
4,14,b'What is the number of American soldiers deployed to South Korea ?'
3,4,b'Who created Big Ben ?'
5,14,"b""Where does Ray Bradbury 's Chronicles take place ?"""
3,5,b'What professional sports league originated the college draft ?'
3,4,"b'What U.S. general died December 1 , 1945 , when his jeep collided with a truck ?'"
1,23,b'What is a fear of crystals or glass ?'
0,0,b'How did the 7th inning stretch get started ?'
5,14,"b""What 's the sacred river of India ?"""
5,14,b'Where can I get a map of Prussia on the Internet ?'
1,2,b'What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?'
0,12,b'What did the only repealed amendment to the U.S. Constitution deal with ?'
5,18,b'What country is famous for Persian rugs ?'
4,13,b'How many years of schooling after highschool does it take to become a neurosurgeon ?'
4,27,b'How long ago did the Anglican church part from the Vatican ?'
1,23,"b'What is a fear of odors , body , ?'"
0,12,b'What is the recommended daily requirement for folic acid for pregnant women ?'
3,4,b'What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?'
0,12,b'What is the difference between microprocessors & microcontrollers ?'
4,13,b'How many electoral college votes does Colorado have ?'
5,14,b'Name a civil war battlefield .'
2,3,b'What does IQ stand for ?'
0,0,b'How does an abacus work ?'
3,12,b'Who is Imam Hussain Ben Ali whom Shia people believe in ?'
5,14,b'What London museum features a Chamber of Horrors ?'
3,4,b'Who were the 1974 Oscar winners ?'
2,3,b'What does snafu stand for ?'
3,4,"b""Who has the only speaking role in `` Silent Movie '' ?"""
1,20,b'What does an irate car owner call iron oxide ?'
3,4,"b""What 's the name of the star of the cooking show , `` Galloping Gourmet '' ?"""
0,9,b'Why are peanut butter cookies topped with crisscrosses ?'
3,4,b'Who painted the Sistine Chapel ?'
3,4,b'Who painted Mother and Child ?'
0,0,b'How do I know how much money to save for retirement ?'
0,9,b'What was the claim to fame of King Camp Gillette ?'
1,29,"b""What four tournaments make up tennis ' Grand Slam ?"""
0,0,b'How did the war of 1812 affect Delaware ?'
